id,question,is_impossible,gold_answers,main_gold_answer,predicted_answer,predicted_no_answer,exact_match,f1,bert_score,reranked_rank,chunk_id,section_title,retrieval_score,reranker_score
chunk_0001_q1,Da quali materiali è costituita la rupe del Castello di Aci Castello?,False,"['un agglomerato di tufo palagonico e di basalto globulare', 'agglomerato di tufo palagonico e di basalto globulare', 'di tufo palagonico e di basalto globulare', 'tufo palagonico e di basalto globulare']",un agglomerato di tufo palagonico e di basalto globulare,La risposta non è presente nel contesto.,True,0,0.0,0.9296159148216248,1,chunk_0002,LA RUPE,0.8475329279899597,0.8843051791191101
chunk_0001_q2,Come viene chiamata localmente la piattaforma del Castello?,False,"['la « Praca »', '« Praca »', 'Praca']",la « Praca »,Praca,False,1,1.0,0.6991062254164717,1,chunk_0002,LA RUPE,0.7841933965682983,0.9902365803718567
chunk_0001_q3,Da quale lato gli scisti basaltici assumono forma circolare a guisa di fiore?,False,"['dal lato sud-ovest', 'lato sud-ovest', 'sud-ovest']",dal lato sud-ovest,sud-ovest,False,1,1.0,0.9408816155091699,1,chunk_0002,LA RUPE,0.8151928186416626,0.9982233643531799
chunk_0001_unanswerable_1,Quale studioso misurò per primo lo spessore degli strati di tufo palagonico della rupe del Castello?,True,[],,La risposta non è presente nel contesto.,True,1,1.0,0.9761883616447449,1,chunk_0002,LA RUPE,0.821444571018219,0.3308887183666229
chunk_0002_q1,In quale anno Croftedt presentò all'Accademia Reale di Svezia il suo studio sul Castello?,False,"[""l'anno 1756"", '1756']",l'anno 1756,1756,False,1,1.0,1.928300330611819,1,chunk_0002,LA RUPE,0.8298397660255432,0.9979903697967529
chunk_0002_q2,In quale eruzione storica il sottosuolo del Castello non fu raggiunto?,False,"[""dall'eruzione storica del 1169"", 'eruzione storica del 1169', '1169', 'del 1169']",dall'eruzione storica del 1169,1169.,False,1,1.0,1.755936316549196,1,chunk_0002,LA RUPE,0.8234145045280457,0.9649322032928467
chunk_0002_q3,Di che colore è il basalto del Castello?,False,"['ferruginoso', 'di colore ferruginoso']",ferruginoso,"ferruginoso,",False,1,1.0,1.8643142453220207,1,chunk_0002,LA RUPE,0.8344250917434692,0.9959688186645508
chunk_0002_unanswerable_1,Quale analisi chimica determinò la percentuale esatta di ferro nel basalto del Castello?,True,[],,La risposta non è presente nel contesto.,True,1,1.0,0.9678101539611816,1,chunk_0002,LA RUPE,0.8483049869537354,0.4738030433654785
chunk_0003_q1,Quale elemento viene ritrovato tra i prismi basaltici a supporto dell'ipotesi di un'eruzione sottomarina?,False,['cemento zoolitico'],cemento zoolitico,cemento zoolitico,False,1,1.0,0.945304824555933,1,chunk_0003,LA RUPE,0.8194177150726318,0.9815258979797363
chunk_0003_q2,Quale fenomeno viene indicato come possibile origine del colossale scoglio di Aci Castello?,False,"[""un'immensa eruzione sottomarina"", 'eruzione sottomarina']",un'immensa eruzione sottomarina,"un'immensa eruzione sottomarina,",False,1,1.0,0.8912970114615746,1,chunk_0003,LA RUPE,0.8334318399429321,0.9982983469963074
chunk_0003_q3,A quale epoca risalirebbe il colossale scoglio di Aci Castello per la seconda ipotesi?,False,"[""all'epoca terziaria"", 'epoca terziaria', 'terziaria']",all'epoca terziaria,"all'epoca terziaria,",False,1,1.0,0.0544004603762005,1,chunk_0003,LA RUPE,0.8366296291351318,0.9998618364334106
chunk_0004_q1,A quale epoca appartengono le conchiglie studiate dai geologi nella rupe di Aci Castello?,False,"[""dell'epoca quaternaria"", 'epoca quaternaria', 'quaternaria']",dell'epoca quaternaria,quaternaria,False,1,1.0,0.8318084369211647,4,chunk_0004,LA RUPE,0.8243721723556519,0.6305204629898071
chunk_0004_q2,Dove sono state rinvenute le pietre pomici che dimostrano il grande sollevamento della terra?,False,"[""nei pressi dell'Eremo di S. Anna"", 'Eremo di S. Anna']",nei pressi dell'Eremo di S. Anna,nei pressi dell'Eremo di S. Anna,False,1,1.0,0.8466958403587341,1,chunk_0004,LA RUPE,0.8428914546966553,0.9994550347328186
chunk_0004_q3,Di quanto si sarebbe innalzata la Sicilia orientale dal momento in cui il mare ha depositato le pietre pomici?,False,"['di quasi 350 metri', 'quasi 350 metri', '350 metri']",di quasi 350 metri,350 metri.,False,1,1.0,1.049104819074273,1,chunk_0004,LA RUPE,0.8592088222503662,0.975028932094574
chunk_0004_unanswerable_1,Quale geologo catalogò le conchiglie quaternarie rinvenute nei pressi dell'Eremo di S. Anna?,True,[],,La risposta non è presente nel contesto.,True,1,1.0,0.9277165532112122,1,chunk_0004,LA RUPE,0.8245954513549805,0.9629613757133484
chunk_0005_q1,"Qual è l'altezza attuale della Rupe del Castello di Aci Castello, escluse le necessarie opere murarie?",False,['45 metri'],45 metri,"45 metri,",False,1,1.0,0.973188397474587,1,chunk_0005,LA RUPE,0.8561151027679443,0.9984354376792908
chunk_0005_q2,"Per ottenere una superficie adatta alla difesa e all'abitazione, che cosa hanno dovuto fare gli uomini sulla sommità della Rupe?",False,"['spianare la sommità della Rupe', 'spianare la sommità', 'spianare']",spianare la sommità della Rupe,spianare,False,1,1.0,0.8898188613238744,1,chunk_0005,LA RUPE,0.8395775556564331,0.9939048886299133
chunk_0005_q3,"Quale forma si pensa che potesse avere la Rupe nell'antichità, prima delle trasformazioni dovute ai millenni e all'opera degli uomini?",False,"['appuntita a guisa di piramide', 'a guisa di piramide', 'guisa di piramide']",appuntita a guisa di piramide,La risposta non è presente nel contesto.,True,0,0.0,0.23279555968474597,1,chunk_0005,LA RUPE,0.841858983039856,0.9287506937980652
chunk_0005_unanswerable_1,Quale documento descrive la forma originaria della rupe prima che la sua sommità fosse spianata dagli uomini?,True,[],,La risposta non è presente nel contesto.,True,1,1.0,0.909082293510437,1,chunk_0005,LA RUPE,0.8084347248077393,0.2957444190979004
chunk_0006_q1,Nei versi del componimento 'Castello d'Aci' quale espressione viene usata per descrivere il profilo della rupe?,False,"['il maschio tuo profilo avventuroso', 'maschio tuo profilo avventuroso']",il maschio tuo profilo avventuroso,La risposta non è presente nel contesto.,True,0,0.0,0.8675611019134521,1,chunk_0092,IL CANTO DEL CARCERATO,0.837454080581665,0.548557698726654
chunk_0006_q2,"Nel componimento 'Castello d'Aci', da dove sorge la struttura secondo la descrizione poetica?",False,"['dalla sponda cupa del mare', 'sponda cupa del mare']",dalla sponda cupa del mare,sponda cupa del mare,False,1,1.0,0.7799260598258115,2,chunk_0005,LA RUPE,0.8268468379974365,0.39474964141845703
chunk_0006_q3,"Nei versi della poesia 'Castello d'Aci', che cosa il poeta immagina di sentire dai merli della rupe nella sera fresca e silente?",False,"['un canto o una preghiera', 'canto o una preghiera']",un canto o una preghiera,"un canto o una preghiera,",False,1,1.0,0.853048455901444,2,chunk_0005,LA RUPE,0.8460859060287476,0.8953629732131958
chunk_0006_unanswerable_1,Chi compose per primo la poesia Castello d'Aci citata nel testo?,True,[],,La risposta non è presente nel contesto.,True,1,1.0,0.9753708243370056,1,chunk_0099,ACI-TREZZA,0.8169209957122803,0.49657049775123596
chunk_0007_q1,Qual è l'ampiezza dell'Etna indicata da Parona?,False,['1109 chilometri quadrati'],1109 chilometri quadrati,1109 chilometri quadrati,False,1,1.0,0.9921915084923967,1,chunk_0007,POCHE NOTE DI GEOLOGIA,0.8236791491508484,0.9125634431838989
chunk_0007_q2,In quale località viene riscontrata la presenza di filoni con colonne prismatiche disposte in modo orizzontale?,False,"['presso Aci-Castello', 'Aci-Castello']",presso Aci-Castello,Aci-Castello).,False,1,1.0,1.1560029574247892,1,chunk_0007,POCHE NOTE DI GEOLOGIA,0.8164104223251343,0.3698113262653351
chunk_0007_q3,Di che origine sono i basalti che costituiscono la base dell'Etna?,False,"['sottomarina', 'di origine sottomarina']",sottomarina,sottomarina,False,1,1.0,1.7907235512211628,1,chunk_0007,POCHE NOTE DI GEOLOGIA,0.8281677961349487,0.4783046841621399
chunk_0007_unanswerable_1,Quale modello geologico spiega la disposizione raggiata dei basalti del Castello di Aci?,True,[],,La risposta non è presente nel contesto.,True,1,1.0,0.9547762870788574,1,chunk_0002,LA RUPE,0.8474679589271545,0.7404994964599609
chunk_0008_q1,Quali spostamenti vengono messi in evidenza dallo studio dei bradisismi?,False,"['dei notevoli, per quanto lenti, spostamenti nelle linee di spiaggia', 'notevoli, per quanto lenti, spostamenti nelle linee di spiaggia', 'per quanto lenti, spostamenti nelle linee di spiaggia', 'spostamenti nelle linee di spiaggia', 'nelle linee di spiaggia']","dei notevoli, per quanto lenti, spostamenti nelle linee di spiaggia",La risposta non è presente nel contesto.,True,0,0.0,0.11216862499713898,1,chunk_0008,POCHE NOTE DI GEOLOGIA,0.7720568776130676,0.6869644522666931
